left_id,left_title,right_id,right_title,pair_id,label
75727983-3,Brooks Adrenaline GTS 21,7959363920-4,Brooks Adrenaline GTS 21 Running Shoes,75727983-3#7959363920-4,1
75727983-3,Brooks Adrenaline GTS 21,7959363920-3,Brooks Adrenaline GTS 21 Running Shoes,75727983-3#7959363920-3,1
75727983-3,Brooks Adrenaline GTS 21,45210045-2,Brooks Adrenaline GTS 21 Womens ,75727983-3#45210045-2,1
75727983-3,Brooks Adrenaline GTS 21,4501512944-3, Brooks Adrenaline GTS 21,75727983-3#4501512944-3,1
75727983-3,Brooks Adrenaline GTS 21,4501512944-4, Brooks Adrenaline GTS 21,75727983-3#4501512944-4,1
65751435-0,Brooks Addiction Walker 2,5187304016-1, Brooks Addiction Walker 2,65751435-0#5187304016-1,1
65751435-0,Brooks Addiction Walker 2,39071607-1,Brooks Addiction Walker 2 Mens ,65751435-0#39071607-1,1
65751435-0,Brooks Addiction Walker 2,8525375408-1,Brooks Addiction Walker 2 Wide,65751435-0#8525375408-1,1
65751435-0,Brooks Addiction Walker 2,780433276-0, Brooks Addiction Walker 2 Extra Wide,65751435-0#780433276-0,1
65751435-0,Brooks Addiction Walker 2,43053901-0, Brooks Addiction Walker 2 Mens Road Running Shoes,65751435-0#43053901-0,1
3634858-1,Brooks Addiction Walker 2,5187304016-1, Brooks Addiction Walker 2,3634858-1#5187304016-1,1
3634858-1,Brooks Addiction Walker 2,39071607-1,Brooks Addiction Walker 2 Mens ,3634858-1#39071607-1,1
3634858-1,Brooks Addiction Walker 2,8525375408-1,Brooks Addiction Walker 2 Wide,3634858-1#8525375408-1,1
3634858-1,Brooks Addiction Walker 2,780433276-0, Brooks Addiction Walker 2 Extra Wide,3634858-1#780433276-0,1
3634858-1,Brooks Addiction Walker 2,43053901-0, Brooks Addiction Walker 2 Mens Road Running Shoes,3634858-1#43053901-0,1
1609795852-0,Vans Og Sk8-hi Lx Sneakers,26380991-2,Vans Sk8 Hi Trainers,1609795852-0#26380991-2,1
1240800108-1,Nike Venture Runner,99849408-0,Nike Venture Runner Women's Shoe,1240800108-1#99849408-0,1
9911074-0,Brooks Launch 7,4056076952-0, Brooks Launch 8,9911074-0#4056076952-0,0
9911074-0,Brooks Launch 7,4056076952-1, Brooks Launch 8,9911074-0#4056076952-1,0
9911074-0,Brooks Launch 7,6131794370-0, Brooks Launch 8,9911074-0#6131794370-0,0
9911074-0,Brooks Launch 7,6131794370-1, Brooks Launch 8,9911074-0#6131794370-1,0
9911074-0,Brooks Launch 7,5602633108-0, Brooks Launch GTS 8,9911074-0#5602633108-0,0
9911074-0,Brooks Launch 7,5602633108-1, Brooks Launch GTS 8,9911074-0#5602633108-1,0
9911074-0,Brooks Launch 7,8682667884-0, Brooks Launch GTS 8,9911074-0#8682667884-0,0
9911074-0,Brooks Launch 7,8682667884-1,Brooks Launch GTS 8,9911074-0#8682667884-1,0
9911074-0,Brooks Launch 7,13126526-0,Brooks Launch GTS 8 Mens,9911074-0#13126526-0,0
9911074-0,Brooks Launch 7,5480761149-0, Brooks Launch GTS 8 Wide,9911074-0#5480761149-0,0
9911074-0,Brooks Launch 7,68962755-0,Brooks Launch GTS 8 Womens,9911074-0#68962755-0,0
9911074-0,Brooks Launch 7,68962755-1,Brooks Launch GTS 8 Womens,9911074-0#68962755-1,0
9911074-0,Brooks Launch 7,2520990689-0,Brooks Launch 8 Running Shoes,9911074-0#2520990689-0,0
9911074-0,Brooks Launch 7,2520990689-1,Brooks Launch 8 Running Shoes,9911074-0#2520990689-1,0
9911074-0,Brooks Launch 7,36030510-0,Brooks Launch 8 Running Shoes,9911074-0#36030510-0,0
98459247-5,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-5#3254468229-0,0
98459247-5,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-5#2189674532-1,0
98459247-5,Brooks Revel 4,4767458-1, Brooks Revel 4 Mens Road Running Shoes,98459247-5#4767458-1,0
98459247-5,Brooks Revel 4,2292350663-3,Brooks Levitate 4 Running Shoes,98459247-5#2292350663-3,0
98459247-5,Brooks Revel 4,2424995179-1,Brooks Levitate 4 Running Shoes,98459247-5#2424995179-1,0
98459247-5,Brooks Revel 4,6302253593-0, Brooks Ricochet 3,98459247-5#6302253593-0,0
98459247-5,Brooks Revel 4,4056076952-1, Brooks Launch 8,98459247-5#4056076952-1,0
98459247-5,Brooks Revel 4,51824908-1,Brooks Ravenna 11 Mens ,98459247-5#51824908-1,0
98459247-5,Brooks Revel 4,51824908-2,Brooks Ravenna 11 Mens,98459247-5#51824908-2,0
98459247-5,Brooks Revel 4,73740473-0,Brooks Ravenna 11 Womens ,98459247-5#73740473-0,0
98459247-5,Brooks Revel 4,42493274-1, Brooks Levitate 4 Womens Road Running Shoes,98459247-5#42493274-1,0
98459247-5,Brooks Revel 4,45210045-0,Brooks Adrenaline GTS 21 Womens ,98459247-5#45210045-0,0
98459247-4,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-4#3254468229-0,0
98459247-4,Brooks Revel 4,3254468229-1, Brooks Revel 4,98459247-4#3254468229-1,0
98459247-4,Brooks Revel 4,58669627-0,Brooks Revel 4 Mens ,98459247-4#58669627-0,0
98459247-4,Brooks Revel 4,46306238-0,Brooks Revel 4 Womens ,98459247-4#46306238-0,0
98459247-4,Brooks Revel 4,2746693578-1,Brooks Levitate 4,98459247-4#2746693578-1,0
98459247-4,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-4#2189674532-1,0
98459247-4,Brooks Revel 4,2189674532-2,Brooks Revel 4 Running Shoes,98459247-4#2189674532-2,0
98459247-4,Brooks Revel 4,4767458-0, Brooks Revel 4 Mens Road Running Shoes,98459247-4#4767458-0,0
98459247-4,Brooks Revel 4,4767458-1, Brooks Revel 4 Mens Road Running Shoes,98459247-4#4767458-1,0
98459247-4,Brooks Revel 4,63280045-0, Brooks Revel 4 Womens Road Running Shoes,98459247-4#63280045-0,0
98459247-4,Brooks Revel 4,63280045-1, Brooks Revel 4 Womens Road Running Shoes,98459247-4#63280045-1,0
98459247-4,Brooks Revel 4,2292350663-2,Brooks Levitate 4 Running Shoes,98459247-4#2292350663-2,0
98459247-4,Brooks Revel 4,4056076952-1, Brooks Launch 8,98459247-4#4056076952-1,0
98459247-4,Brooks Revel 4,6131794370-0, Brooks Launch 8,98459247-4#6131794370-0,0
98459247-4,Brooks Revel 4,51824908-2,Brooks Ravenna 11 Mens,98459247-4#51824908-2,0
98459247-2,Brooks Revel 4,3254468229-0, Brooks Revel 4,98459247-2#3254468229-0,0
98459247-2,Brooks Revel 4,3254468229-1, Brooks Revel 4,98459247-2#3254468229-1,0
98459247-2,Brooks Revel 4,3254468229-2,Brooks Revel 4,98459247-2#3254468229-2,0
98459247-2,Brooks Revel 4,7631563821-0, Brooks Revel 4,98459247-2#7631563821-0,0
98459247-2,Brooks Revel 4,7631563821-1, Brooks Revel 4,98459247-2#7631563821-1,0
98459247-2,Brooks Revel 4,58669627-0,Brooks Revel 4 Mens ,98459247-2#58669627-0,0
98459247-2,Brooks Revel 4,46306238-0,Brooks Revel 4 Womens ,98459247-2#46306238-0,0
98459247-2,Brooks Revel 4,2746693578-0, Brooks Levitate 4,98459247-2#2746693578-0,0
98459247-2,Brooks Revel 4,2746693578-1,Brooks Levitate 4,98459247-2#2746693578-1,0
98459247-2,Brooks Revel 4,9847167145-1, Brooks Levitate 4,98459247-2#9847167145-1,0
98459247-2,Brooks Revel 4,2189674532-0,Brooks Revel 4 Running Shoes,98459247-2#2189674532-0,0
98459247-2,Brooks Revel 4,2189674532-1,Brooks Revel 4 Running Shoes,98459247-2#2189674532-1,0
98459247-2,Brooks Revel 4,2189674532-2,Brooks Revel 4 Running Shoes,98459247-2#2189674532-2,0
98459247-2,Brooks Revel 4,8677077594-0,Brooks Revel 4 Running Shoes,98459247-2#8677077594-0,0
98459247-2,Brooks Revel 4,8677077594-1,Brooks Revel 4 Running Shoes,98459247-2#8677077594-1,0
9393095-0,Brooks Cascadia 15,1872599326-0, Brooks Cascadia 15,9393095-0#1872599326-0,0
9393095-0,Brooks Cascadia 15,11635808-0,Brooks Cascadia 15 Mens ,9393095-0#11635808-0,0
9393095-0,Brooks Cascadia 15,11635808-1,Brooks Cascadia 15 Mens ,9393095-0#11635808-1,0
9393095-0,Brooks Cascadia 15,11635808-2,Brooks Cascadia 15 Mens,9393095-0#11635808-2,0
9393095-0,Brooks Cascadia 15,8330392-0,Brooks Cascadia 15 Womens ,9393095-0#8330392-0,0
9393095-0,Brooks Cascadia 15,8330392-2,Brooks Cascadia 15 Womens,9393095-0#8330392-2,0
9393095-0,Brooks Cascadia 15,1333060258-0, Brooks Cascadia 15 Goretex,9393095-0#1333060258-0,0
9393095-0,Brooks Cascadia 15,3595683857-0, Brooks Cascadia 15 Goretex,9393095-0#3595683857-0,0
9393095-0,Brooks Cascadia 15,87492934-0,Brooks Cascadia GTX 15 Mens ,9393095-0#87492934-0,0
9393095-0,Brooks Cascadia 15,74552916-0,Brooks Cascadia 14 Womens ,9393095-0#74552916-0,0
9393095-0,Brooks Cascadia 15,71210788-0,Brooks Cascadia GTX 15 Womens ,9393095-0#71210788-0,0
9393095-0,Brooks Cascadia 15,4760439895-0,Brooks Cascadia 15 Trail Running Shoes,9393095-0#4760439895-0,0
9393095-0,Brooks Cascadia 15,9304220918-0, Brooks Caldera 5,9393095-0#9304220918-0,0
9393095-1,Brooks Cascadia 15,57779013-0, Brooks Cascadia 15 Mens Trail Running Shoes,9393095-1#57779013-0,0
9393095-1,Brooks Cascadia 15,6644935798-0, Brooks Beast 20,9393095-1#6644935798-0,0
9393095-1,Brooks Cascadia 15,87337356-0, Brooks ELMN8 v5 Mens Racing Spikes,9393095-1#87337356-0,0
9393095-1,Brooks Cascadia 15,80748833-0, Brooks Beast 20 Mens Road Running Shoes,9393095-1#80748833-0,0
9393095-1,Brooks Cascadia 15,80748833-1, Brooks Beast 20 Mens Road Running Shoes,9393095-1#80748833-1,0
9393095-1,Brooks Cascadia 15,8375258908-0,Brooks Ghost 13 GTX Running Shoes,9393095-1#8375258908-0,0
9393095-1,Brooks Cascadia 15,51257445-0, Brooks Levitate 4 Mens Road Running Shoes,9393095-1#51257445-0,0
9393095-2,Brooks Cascadia 15,57779013-0, Brooks Cascadia 15 Mens Trail Running Shoes,9393095-2#57779013-0,0
9393095-2,Brooks Cascadia 15,4578990633-0, Brooks Glycerin 19,9393095-2#4578990633-0,0
9393095-2,Brooks Cascadia 15,4578990633-1, Brooks Glycerin 19,9393095-2#4578990633-1,0
9393095-2,Brooks Cascadia 15,45210045-2,Brooks Adrenaline GTS 21 Womens ,9393095-2#45210045-2,0
9393095-2,Brooks Cascadia 15,88073041-0,Brooks Glycerin GTS 19 Mens,9393095-2#88073041-0,0
9393095-2,Brooks Cascadia 15,3254468229-1, Brooks Revel 4,9393095-2#3254468229-1,0
9393095-2,Brooks Cascadia 15,45814861-0,Brooks Adrenaline Walker 3 Womens ,9393095-2#45814861-0,0
9393095-2,Brooks Cascadia 15,8074603326-1,Brooks Ghost 13 Running Shoes,9393095-2#8074603326-1,0
9393095-2,Brooks Cascadia 15,3676508-0, Brooks QW-K v4 Mens Racing Spikes,9393095-2#3676508-0,0
9393095-2,Brooks Cascadia 15,51257445-0, Brooks Levitate 4 Mens Road Running Shoes,9393095-2#51257445-0,0
8963588-1,Brooks Catamount,59326104-0, Brooks Catamount Mens Trail Running Shoes,8963588-1#59326104-0,0
8963588-1,Brooks Catamount,2553348554-0, Brooks Trace,8963588-1#2553348554-0,0
8963588-1,Brooks Catamount,11635808-0,Brooks Cascadia 15 Mens ,8963588-1#11635808-0,0
8963588-1,Brooks Catamount,8330392-1,Brooks Cascadia 15 Womens ,8963588-1#8330392-1,0
8963588-1,Brooks Catamount,9304220918-0, Brooks Caldera 5,8963588-1#9304220918-0,0
8963588-1,Brooks Catamount,87492934-0,Brooks Cascadia GTX 15 Mens ,8963588-1#87492934-0,0
8963588-1,Brooks Catamount,3595683857-0, Brooks Cascadia 15 Goretex,8963588-1#3595683857-0,0
8963588-1,Brooks Catamount,1872599326-0, Brooks Cascadia 15,8963588-1#1872599326-0,0
8963588-1,Brooks Catamount,77629853-1,Brooks Mach 19 Mens ,8963588-1#77629853-1,0
8963588-1,Brooks Catamount,4926183363-0, Brooks Bedlam 3,8963588-1#4926183363-0,0
8963588-1,Brooks Catamount,6644935798-1, Brooks Beast 20,8963588-1#6644935798-1,0
8963588-1,Brooks Catamount,6644935798-2,Brooks Beast 20,8963588-1#6644935798-2,0
8963588-1,Brooks Catamount,9269874261-0,Brooks Bedlam 3,8963588-1#9269874261-0,0
8963588-1,Brooks Catamount,30435442-2, Brooks Transcend 7 Mens Road Running Shoes,8963588-1#30435442-2,0
8963588-0,Brooks Catamount,8074603326-2,Brooks Ghost 13 Running Shoes,8963588-0#8074603326-2,0
90298699-0,Brooks Cascadia 15,1872599326-1, Brooks Cascadia 15,90298699-0#1872599326-1,0
90298699-0,Brooks Cascadia 15,9428032834-1, Brooks Cascadia 15,90298699-0#9428032834-1,0
90298699-0,Brooks Cascadia 15,11635808-0,Brooks Cascadia 15 Mens ,90298699-0#11635808-0,0
90298699-0,Brooks Cascadia 15,11635808-2,Brooks Cascadia 15 Mens,90298699-0#11635808-2,0
90298699-0,Brooks Cascadia 15,8330392-0,Brooks Cascadia 15 Womens ,90298699-0#8330392-0,0
90298699-0,Brooks Cascadia 15,8330392-2,Brooks Cascadia 15 Womens,90298699-0#8330392-2,0
